Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,median_income
36001,05000US36001,Albany County,"Albany County, New York",ny,50,0,ACSSF,13,,,,,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307426,588.0049,522.8289984,64535
36003,05000US36003,Allegany County,"Allegany County, New York",ny,50,0,ACSSF,14,,,,,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47025,45.68373,1029.359815,47033
36005,05000US36005,Bronx County,"Bronx County, New York",ny,50,0,ACSSF,15,,,,,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437872,34194.36,42.04998015,38085
36007,05000US36007,Broome County,"Broome County, New York",ny,50,0,ACSSF,16,,,,,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194402,275.4287,705.8160764,50859
36009,05000US36009,Cattaraugus County,"Cattaraugus County, New York",ny,50,0,ACSSF,17,,,,,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77686,59.37697,1308.352378,47240
36011,05000US36011,Cayuga County,"Cayuga County, New York",ny,50,0,ACSSF,18,,,,,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77868,112.5939,691.5825587,56579
36013,05000US36013,Chautauqua County,"Chautauqua County, New York",ny,50,0,ACSSF,19,,,,,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129656,122.2911,1060.224168,45332
36015,05000US36015,Chemung County,"Chemung County, New York",ny,50,0,ACSSF,20,,,,,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85740,210.4815,407.3517808,53299
36017,05000US36017,Chenango County,"Chenango County, New York",ny,50,0,ACSSF,21,,,,,36,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48348,54.1052,893.5925016,50595
36019,05000US36019,Clinton County,"Clinton County, New York",ny,50,0,ACSSF,22,,,,,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80794,77.85464,1037.75438,55178
36021,05000US36021,Columbia County,"Columbia County, New York",ny,50,0,ACSSF,23,,,,,36,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60919,95.98631,634.6634625,63032
36023,05000US36023,Cortland County,"Cortland County, New York",ny,50,0,ACSSF,24,,,,,36,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48123,96.48279,498.7728932,54489
36025,05000US36025,Delaware County,"Delaware County, New York",ny,50,0,ACSSF,25,,,,,36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45502,31.54559,1442.420298,48827
36027,05000US36027,Dutchess County,"Dutchess County, New York",ny,50,0,ACSSF,26,,,,,36,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293894,369.3772,795.6473868,78028
36029,05000US36029,Erie County,"Erie County, New York",ny,50,0,ACSSF,27,,,,,36,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919866,882.1758,1042.724164,55673
36031,05000US36031,Essex County,"Essex County, New York",ny,50,0,ACSSF,28,,,,,36,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37751,21.04154,1794.11799,56196
36033,05000US36033,Franklin County,"Franklin County, New York",ny,50,0,ACSSF,29,,,,,36,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50692,31.1144,1629.21359,51696
36035,05000US36035,Fulton County,"Fulton County, New York",ny,50,0,ACSSF,30,,,,,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53743,108.471,495.4597041,50248
36037,05000US36037,Genesee County,"Genesee County, New York",ny,50,0,ACSSF,31,,,,,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58112,117.8894,492.936758,59338
36039,05000US36039,Greene County,"Greene County, New York",ny,50,0,ACSSF,32,,,,,36,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47617,73.57823,647.1615096,53617
36041,05000US36041,Hamilton County,"Hamilton County, New York",ny,50,0,ACSSF,33,,,,,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4575,2.663949,1717.375555,57552
36043,05000US36043,Herkimer County,"Herkimer County, New York",ny,50,0,ACSSF,34,,,,,36,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62505,44.2822,1411.515222,51862
36045,05000US36045,Jefferson County,"Jefferson County, New York",ny,50,0,ACSSF,35,,,,,36,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114448,90.20919,1268.69562,52268
36047,05000US36047,Kings County,"Kings County, New York",ny,50,0,ACSSF,36,,,,,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600747,37490.14,69.37149052,56015
36049,05000US36049,Lewis County,"Lewis County, New York",ny,50,0,ACSSF,37,,,,,36,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26719,20.96197,1274.641866,52380
36051,05000US36051,Livingston County,"Livingston County, New York",ny,50,0,ACSSF,38,,,,,36,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63907,101.1567,631.7622475,56071
36053,05000US36053,Madison County,"Madison County, New York",ny,50,0,ACSSF,39,,,,,36,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71359,108.9676,654.8646249,60228
36055,05000US36055,Monroe County,"Monroe County, New York",ny,50,0,ACSSF,40,,,,,36,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744248,1133.017,656.8726527,57479
36057,05000US36057,Montgomery County,"Montgomery County, New York",ny,50,0,ACSSF,41,,,,,36,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49426,122.6097,403.1165179,45837
