Geo_NAME,median_income
Albany County,64535
Allegany County,47033
Bronx County,38085
Broome County,50859
Cattaraugus County,47240
Cayuga County,56579
Chautauqua County,45332
Chemung County,53299
Chenango County,50595
Clinton County,55178
Columbia County,63032
Cortland County,54489
Delaware County,48827
Dutchess County,78028
Erie County,55673
Essex County,56196
Franklin County,51696
Fulton County,50248
Genesee County,59338
Greene County,53617
Hamilton County,57552
Herkimer County,51862
Jefferson County,52268
Kings County,56015
Lewis County,52380
Livingston County,56071
Madison County,60228
Monroe County,57479
Montgomery County,45837
Nassau County,111240
New York County,82459
Niagara County,54085
Oneida County,53844
Onondaga County,59225
Ontario County,63359
Orange County,76716
Orleans County,51843
Oswego County,53597
Otsego County,53121
Putnam County,102186
Queens County,64987
Rensselaer County,65851
Richmond County,79267
Rockland County,91108
St. Lawrence County,49305
Saratoga County,80839
Schenectady County,63785
Schoharie County,53989
Schuyler County,51479
Seneca County,54695
Steuben County,51789
Suffolk County,96675
Sullivan County,56256
Tioga County,60736
Tompkins County,58743
Ulster County,63348
Warren County,59813
Washington County,54114
Wayne County,55765
Westchester County,92758
Wyoming County,57914
Yates County,54343
